Dataset,Model,Dense: 4096,Sparse: 256,Sparse: 64,Sparse: 32,Sparse: 16,Sparse: 12
PINN,PIS-Darcy Flow,0.045 ± 0.021,0.045 ± 0.021,0.049 ± 0.020,0.054 ± 0.022,0.066 ± 0.029,0.075 ± 0.031
PINN,PIS-Helmholtz,0.157 ± 0.039,0.228 ± 0.052,0.410 ± 0.094,0.512 ± 0.095,0.580 ± 0.102,0.589 ± 0.112
PINN,PIS-SHM,0.115 ± 0.010,0.289 ± 0.074,0.703 ± 0.220,0.951 ± 0.278,1.128 ± 0.318,1.207 ± 0.342
FNO,PIS-Darcy Flow,0.020 ± 0.010,0.097 ± 0.032,0.193 ± 0.087,0.300 ± 0.135,0.485 ± 0.234,0.537 ± 0.276
FNO,PIS-Helmholtz,0.023 ± 0.010,0.448 ± 0.062,0.471 ± 0.070,0.532 ± 0.101,0.595 ± 0.145,0.617 ± 0.158
FNO,PIS-SHM,0.020 ± 0.002,0.305 ± 0.061,0.607 ± 0.172,0.904 ± 0.308,1.076 ± 0.418,1.175 ± 0.443
NIO,PIS-Darcy Flow,0.024 ± 0.019,0.068 ± 0.015,0.097 ± 0.017,0.115 ± 0.018,0.128 ± 0.020,0.136 ± 0.022
NIO,PIS-Helmholtz,0.090 ± 0.079,0.393 ± 0.042,0.470 ± 0.048,0.527 ± 0.047,0.553 ± 0.055,0.561 ± 0.050
NIO,PIS-SHM,0.045 ± 0.043,0.328 ± 0.075,0.548 ± 0.102,0.649 ± 0.106,0.745 ± 0.108,0.796 ± 0.106
DPS,PIS-Darcy Flow,0.046 ± 0.028,0.079 ± 0.025,0.099 ± 0.025,0.112 ± 0.026,0.124 ± 0.026,0.132 ± 0.024
DPS,PIS-Helmholtz,0.090 ± 0.044,0.410 ± 0.036,0.491 ± 0.044,0.551 ± 0.044,0.582 ± 0.039,0.582 ± 0.046
DPS,PIS-SHM,0.054 ± 0.055,0.324 ± 0.125,0.561 ± 0.137,0.656 ± 0.128,0.777 ± 0.118,0.798 ± 0.118
