Dataset,Model,Dense: 4096,Sparse: 256,Sparse: 64,Sparse: 32,Sparse: 16,Sparse: 12
PINN,PIS-Darcy Flow,0.249 ± 0.092,0.246 ± 0.092,0.232 ± 0.092,0.224 ± 0.099,0.190 ± 0.097,0.176 ± 0.094
PINN,PIS-Helmholtz,0.715 ± 0.075,0.609 ± 0.076,0.389 ± 0.088,0.303 ± 0.077,0.258 ± 0.076,0.240 ± 0.076
PINN,PIS-SHM,0.805 ± 0.019,0.573 ± 0.085,0.250 ± 0.130,0.157 ± 0.104,0.099 ± 0.088,0.089 ± 0.079
FNO,PIS-Darcy Flow,0.836 ± 0.039,0.364 ± 0.084,0.416 ± 0.106,0.435 ± 0.103,0.431 ± 0.111,0.413 ± 0.112
FNO,PIS-Helmholtz,0.979 ± 0.016,0.325 ± 0.069,0.319 ± 0.065,0.314 ± 0.074,0.285 ± 0.073,0.264 ± 0.068
FNO,PIS-SHM,0.984 ± 0.003,0.555 ± 0.075,0.253 ± 0.088,0.131 ± 0.088,0.082 ± 0.079,0.064 ± 0.074
NIO,PIS-Darcy Flow,0.872 ± 0.068,0.269 ± 0.057,0.260 ± 0.059,0.265 ± 0.064,0.275 ± 0.071,0.293 ± 0.068
NIO,PIS-Helmholtz,0.879 ± 0.112,0.201 ± 0.046,0.152 ± 0.042,0.127 ± 0.040,0.125 ± 0.042,0.121 ± 0.041
NIO,PIS-SHM,0.958 ± 0.051,0.575 ± 0.083,0.291 ± 0.101,0.197 ± 0.095,0.121 ± 0.080,0.102 ± 0.072
DPS,PIS-Darcy Flow,0.799 ± 0.092,0.226 ± 0.051,0.208 ± 0.059,0.202 ± 0.064,0.221 ± 0.072,0.251 ± 0.074
DPS,PIS-Helmholtz,0.816 ± 0.098,0.193 ± 0.039,0.161 ± 0.038,0.133 ± 0.037,0.119 ± 0.039,0.120 ± 0.045
DPS,PIS-SHM,0.947 ± 0.065,0.630 ± 0.114,0.367 ± 0.130,0.270 ± 0.113,0.168 ± 0.097,0.149 ± 0.093
